"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077282","BSU02130","NP_388095.1","glycerophosphoryl diester phosphodiesterase","58531","Escherichia coli 536","110642446","ECP_2281","WP_000779093.1","glycerophosphodiester phosphodiesterase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077283","BSU02140","NP_388096.1","glycerol-3-phosphate permease","58531","Escherichia coli 536","110642447","ECP_2282","WP_000948732.1","sn-glycerol-3-phosphate transporter","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077290","BSU02210","NP_388103.1","permease","58531","Escherichia coli 536","110643424","ECP_3271","WP_000813033.1","transport protein YhbE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077291","BSU02220","NP_388104.1","AraC/XylS family transcriptional regulator","58531","Escherichia coli 536","110644242","ECP_4115","WP_000217156.1","transcriptional activator RhaS","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077292","BSU02230","NP_388105.1","phosphoribosylglycinamide formyltransferase 2","58531","Escherichia coli 536","110641967","ECP_1793","WP_000173466.1","phosphoribosylglycinamide formyltransferase 2","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077293","BSU02240","NP_388106.1","extracellular metalloprotease","58531","Escherichia coli 536","110641720","ECP_1542","WP_001260849.1","putative protease YdgD precursor","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077297","BSU02280","NP_388110.1","membrane phosphatase","58531","Escherichia coli 536","110642521","ECP_2356","WP_000364337.1","hypothetical protein","3","BSU13430[integral inner membrane protein];BSU18190[integral inner membrane protein]","ECP_3191[DedA family, membrane protein]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077297","BSU02280","NP_388110.1","membrane phosphatase","58531","Escherichia coli 536","110643344","ECP_3191","WP_000422149.1","DedA family, membrane protein","2","BSU13430[integral inner membrane protein];BSU18190[integral inner membrane protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077298","BSU02290","NP_388111.1","phosphatidylserine decarboxylase","58531","Escherichia coli 536","110644519","ECP_4404","WP_000934920.1","phosphatidylserine decarboxylase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077301","BSU02320","NP_388114.1","AraC/XylS family transcriptional regulator","58531","Escherichia coli 536","110644835","ECP_4782","WP_000371658.1","right origin-binding protein","2","","ECP_1514[DNA-binding transcriptional activator MarA];ECP_0368[AraC family regulatory protein]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077301","BSU02320","NP_388114.1","AraC/XylS family transcriptional regulator","58531","Escherichia coli 536","110641692","ECP_1514","WP_001304364.1","DNA-binding transcriptional activator MarA","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077301","BSU02320","NP_388114.1","AraC/XylS family transcriptional regulator","58531","Escherichia coli 536","110640573","ECP_0368","WP_000620997.1","AraC family regulatory protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077302","BSU02330","NP_388115.1","hypothetical protein","58531","Escherichia coli 536","110641232","ECP_1048","WP_001298360.1","hypothetical protein","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077304","BSU02350","NP_388117.1","phosphotransferase system (PTS) glucosamine-specific enzyme IICBA component","58531","Escherichia coli 536","110640890","ECP_0691","WP_001023122.1","PTS system N-acetyl glucosamine specific transporter subunits IIABC","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077305","BSU02360","NP_388118.1","glucosamine-6-phosphate isomerase","58531","Escherichia coli 536","110640889","ECP_0690","WP_001237072.1","glucosamine-6-phosphate deaminase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077308","BSU02390","NP_388121.1","branched-chain amino acid aminotransferase","58531","Escherichia coli 536","110644100","ECP_3963","WP_000208516.1","branched-chain amino acid aminotransferase","1","BSU38550[branched-chain amino acid aminotransferase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077309","BSU02400","NP_388122.1","aminoacid permease","58531","Escherichia coli 536","110642366","ECP_2196","WP_000534385.1","lysine transporter","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767059","BSU02420","NP_388124.2","glutamine transporter","58531","Escherichia coli 536","110640221","ECP_0008","WP_001112565.1","putative transporter YaaJ","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767062","BSU02480","NP_388130.2","glucarate transporter","58531","Escherichia coli 536","110642930","ECP_2770","WP_000097082.1","glucarate transporter","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767063","BSU02490","NP_388131.2","glucarate dehydratase","58531","Escherichia coli 536","110642928","ECP_2768","WP_000098258.1","glucarate dehydratase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767064","BSU02500","NP_388132.2","GntR family transcriptional regulator","58531","Escherichia coli 536","110643460","ECP_3309","WP_000074795.1","transcriptional regulator NanR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767065","BSU02510","NP_388133.2","D-galactarate dehydratase","58531","Escherichia coli 536","110643371","ECP_3218","WP_001273939.1","D-galactarate dehydratase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767075","BSU02640","NP_388146.2","twin-arginine pre-protein translocation pathway protein","58531","Escherichia coli 536","110644184","ECP_4053","WP_000109949.1","twin-arginine protein translocation system subunit TatC","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077337","BSU02680","NP_388150.1","transcriptional repressor of lmrAB and yxaGH operons","58531","Escherichia coli 536","110641771","ECP_1595","WP_001032936.1","transcriptional regulator YdhM","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077338","BSU02690","NP_388151.1","L-asparaginase","58531","Escherichia coli 536","110643106","ECP_2951","WP_000394107.1","L-asparaginase II","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077346","BSU02770","NP_388159.1","ion channel associated enzyme","58531","Escherichia coli 536","110640570","ECP_0365","WP_001172293.1","putative aldo/keto reductase","1","BSU39780[aldo-keto reductase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077355","BSU02860","NP_388168.1","Zn(II) transporter ATP-binding protein","58531","Escherichia coli 536","110641976","ECP_1802","WP_000202996.1","high-affinity zinc transporter ATPase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077356","BSU02870","NP_388169.1","high affinity Zn(II) ABC transporter permease","58531","Escherichia coli 536","110641977","ECP_1803","WP_000571481.1","high-affinity zinc transporter membrane component","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767078","BSU02980","NP_388180.2","glycine betaine ABC transporter ATP-binding protein","58531","Escherichia coli 536","110642803","ECP_2643","WP_000985490.1","glycine betaine transporter ATP-binding subunit","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077368","BSU02990","NP_388181.1","glycine betaine ABC transporter permease","58531","Escherichia coli 536","110642804","ECP_2644","WP_000774980.1","glycine betaine transporter membrane protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767080","BSU03020","NP_388184.2","integral inner membrane protein","58531","Escherichia coli 536","110644609","ECP_4497","WP_001298046.1","putative C4-dicarboxylate anaerobic carrier","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767083","BSU03050","NP_388187.2","L-lactate dehydrogenase","58531","Escherichia coli 536","110643470","ECP_3319","WP_001298585.1","malate dehydrogenase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077382","BSU03130","NP_388195.1","NAD synthetase","58531","Escherichia coli 536","110641860","ECP_1686","WP_000175018.1","NAD synthetase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767091","BSU03150","NP_388197.2","shikimate kinase","58531","Escherichia coli 536","229560210","ECP_3476","WP_000818618.1","shikimate kinase I","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767092","BSU03160","NP_388198.2","methyltransferase","58531","Escherichia coli 536","110640425","ECP_0216","WP_000211721.1","methyltransferase YafE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767095","BSU03220","NP_388204.2","proline/ornithine permease","58531","Escherichia coli 536","110641199","ECP_1015","WP_001018494.1","sodium/proline symporter","1","BSU06660[proline transporter]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077397","BSU03280","NP_388210.1","uroporphyrin-III C-methyltransferase","58531","Escherichia coli 536","110643608","ECP_3459","WP_000349876.1","siroheme synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077399","BSU03300","NP_388212.1","assimilatory nitrite reductase subunit","58531","Escherichia coli 536","110643605","ECP_3456","WP_000049213.1","nitrite reductase [NAD(P)H] large subunit","1","BSU03320[assimilatory nitrate reductase electron transfer subunit]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767097","BSU03310","NP_388213.2","assimilatory nitrate reductase catalytic subunit","58531","Escherichia coli 536","110642414","ECP_2247","WP_000778064.1","nitrate reductase catalytic subunit","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767098","BSU03320","NP_388214.2","assimilatory nitrate reductase electron transfer subunit","58531","Escherichia coli 536","110643605","ECP_3456","WP_000049213.1","nitrite reductase [NAD(P)H] large subunit","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767099","BSU03330","NP_388215.2","nitrate transporter","58531","Escherichia coli 536","110641649","ECP_1471","WP_001207907.1","nitrite extrusion protein 2","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767099","BSU03330","NP_388215.2","nitrate transporter","58531","Escherichia coli 536","110641455","ECP_1273","WP_000019836.1","nitrite extrusion protein","1","","ECP_1471[nitrite extrusion protein 2]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077405","BSU03360","NP_388218.1","metallochaperone with NTPase activity","58531","Escherichia coli 536","110640521","ECP_0316","WP_001298139.1","putative cobalamin synthesis protein","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767103","BSU03440","NP_388226.2","methyl-accepting chemotaxis protein","58531","Escherichia coli 536","110642002","ECP_1830","WP_001298462.1","methyl-accepting chemotaxis protein II","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077414","BSU03450","NP_388227.1","6-phospho-3-hexuloisomerase (PHI)","58531","Escherichia coli 536","110644158","ECP_4027","WP_000339041.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077415","BSU03460","NP_388228.1","3-hexulose-6-phosphate synthase","58531","Escherichia coli 536","110644553","ECP_4441","WP_000056749.1","3-keto-L-gulonate-6-phosphate decarboxylase","1","","ECP_3686[3-keto-L-gulonate-6-phosphate decarboxylase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077415","BSU03460","NP_388228.1","3-hexulose-6-phosphate synthase","58531","Escherichia coli 536","110643831","ECP_3686","WP_000089504.1","3-keto-L-gulonate-6-phosphate decarboxylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767104","BSU03470","NP_388229.2","positive regulator of hxlAB expression","58531","Escherichia coli 536","110644578","ECP_4466","WP_041032034.1","putative transcriptional regulator YtfH","5","BSU05270[transcriptional regulator];BSU05290[transcriptional regulator];BSU13760[transcriptional regulator];BSU29030[MarD family transcriptional regulator];BSU40540[transcriptional regulator]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767105","BSU03480","NP_388230.2","surfactin synthetase","58531","Escherichia coli 536","110642140","ECP_1970","WP_000222467.1","putative non-ribosomal peptide synthase","3","BSU18310[plipastatin synthetase];BSU18320[plipastatin synthetase];BSU18340[plipastatin synthetase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767105","BSU03480","NP_388230.2","surfactin synthetase","58531","Escherichia coli 536","110642141","ECP_1971","WP_001468003.1","putative non-ribosomal peptide synthase","4","BSU18310[plipastatin synthetase];BSU18320[plipastatin synthetase];BSU18340[plipastatin synthetase]","ECP_1970[putative non-ribosomal peptide synthase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077421","BSU03520","NP_388234.1","surfactin synthetase","58531","Escherichia coli 536","110642116","ECP_1945","WP_000194283.1","yersiniabactin biosynthetic protein YbtT","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077431","BSU03630","NP_388245.1","aromatic acid decarboxylase","58531","Escherichia coli 536","110642515","ECP_2350","WP_000825701.1","3-octaprenyl-4-hydroxybenzoate carboxy-lyase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077432","BSU03640","NP_388246.1","3-polyprenyl-4-hydroxybenzoate decarboxylase","58531","Escherichia coli 536","110644187","ECP_4056","WP_000339823.1","3-octaprenyl-4-hydroxybenzoate decarboxylase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767116","BSU03670","NP_388249.2","di-tripeptide-proton ABC symporter","58531","Escherichia coli 536","110641757","ECP_1579","WP_000100937.1","putative tripeptide transporter permease","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767116","BSU03670","NP_388249.2","di-tripeptide-proton ABC symporter","58531","Escherichia coli 536","110644489","ECP_4374","WP_000856826.1","POT family di-/tripeptide transport protein","2","","ECP_1579[putative tripeptide transporter permease];ECP_0722[POT family transport protein YbgH]","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767116","BSU03670","NP_388249.2","di-tripeptide-proton ABC symporter","58531","Escherichia coli 536","110640919","ECP_0722","WP_001032663.1","POT family transport protein YbgH","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077443","BSU03750","NP_388257.1","two-component response regulator YclK","58531","Escherichia coli 536","110644669","ECP_4562","WP_001067000.1","DNA-binding response regulator","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077447","BSU03790","NP_388261.1","aspartate kinase","58531","Escherichia coli 536","110640215","ECP_0002","WP_001264707.1","bifunctional aspartokinase I/homeserine dehydrogenase I","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16077452","BSU03840","NP_388266.1","efflux transporter","58531","Escherichia coli 536","110642811","ECP_2651","WP_001296316.1","multidrug resistance protein B","2","","ECP_1392[multidrug resistance protein B];ECP_2392[multidrug resistance protein Y]",""
